list_name,fetched_at_ts,endpoint,kitsu_id,position,list_rank,trend_rank
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,39293,93,885.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,20310,94,285.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,25426,95,5732.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,58159,96,1154.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,58010,97,672.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,22206,98,2926.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,36770,99,469.0,
top_publishing,2025-12-13 20:31:33+00:00,manga?filter[status]=current&sort=popularityRank,39700,100,247.0,
trending_weekly,2025-12-13 20:29:08+00:00,trending/manga,55900,1,,1.0
trending_weekly,2025-12-13 20:29:08+00:00,trending/manga,56452,2,,2.0
trending_weekly,2025-12-13 20:29:08+00:00,trending/manga,38,3,,3.0
trending_weekly,2025-12-13 20:29:08+00:00,trending/manga,60854,4,,4.0
trending_weekly,2025-12-13 20:29:08+00:00,trending/manga,65728,5,,5.0
trending_weekly,2025-12-13 20:29:08+00:00,trending/manga,57618,6,,6.0
trending_weekly,2025-12-13 20:29:08+00:00,trending/manga,66874,7,,7.0
trending_weekly,2025-12-13 20:29:08+00:00,trending/manga,40987,8,,8.0
trending_weekly,2025-12-13 20:29:08+00:00,trending/manga,65717,9,,9.0
trending_weekly,2025-12-13 20:29:08+00:00,trending/manga,71747,10,,10.0
